customer_id,country,recency,frequency,monetary,r,f,m,rfm_score,fm,segment_key,segment,kmeans_cluster,dbscan_cluster,kmeans_optimal
609822,China,316,1,728.28,1,1,1,111,1,11,hibernating,1,0,0
609984,China,351,1,1215.66,1,1,2,112,1,11,hibernating,1,0,0
610170,China,22,6,6651.54,4,4,4,444,4,44,loyal customers,0,0,0
610278,China,50,5,3579.24,4,4,3,443,3,43,potential loyalists,0,0,0
610350,China,246,1,691.86,1,1,1,111,1,11,hibernating,1,0,0
611532,China,1,7,7327.02,5,4,4,544,4,54,loyal customers,0,0,0
611646,China,239,3,4882.80,2,3,4,234,3,23,at risk,1,0,0
611718,China,190,3,742.14,2,3,1,231,2,22,hibernating,1,0,0
611820,China,85,3,22626.12,3,3,5,335,4,34,loyal customers,0,0,0
611844,China,22,1,1196.70,4,1,2,412,1,41,promising,0,0,0
611946,China,316,1,189.72,1,1,1,111,1,11,hibernating,1,0,0
611976,China,85,5,16983.90,3,4,5,345,4,34,loyal customers,0,0,0
612594,China,127,1,418.02,2,1,1,211,1,21,hibernating,0,0,0
612840,China,29,5,9826.86,4,4,4,444,4,44,loyal customers,0,0,0
612954,China,29,7,8418.66,4,4,4,444,4,44,loyal customers,0,0,0
613104,China,71,1,282.12,3,1,1,311,1,31,about to sleep,0,0,0
613476,China,323,1,1927.14,1,1,2,112,1,11,hibernating,1,0,0
613596,China,50,2,4402.14,4,2,3,423,2,42,potential loyalists,0,0,0
613686,China,1,1,2926.08,5,1,3,513,2,52,potential loyalists,0,0,0
613830,China,309,1,29115.36,1,1,5,115,3,13,at risk,1,0,0
613920,China,155,3,22986.72,2,3,5,235,4,24,at risk,1,0,0
614736,China,225,1,790.26,2,1,1,211,1,21,hibernating,1,0,0
614880,China,8,6,7789.20,5,4,4,544,4,54,loyal customers,0,0,0
615084,China,29,4,1831.02,4,3,2,432,2,42,potential loyalists,0,0,0
615474,China,281,1,5992.02,1,1,4,114,2,12,hibernating,1,0,0
615750,China,57,1,176.22,3,1,1,311,1,31,about to sleep,0,0,0
616140,China,57,1,3197.10,3,1,3,313,2,32,about to sleep,0,0,0
616200,China,1,63,336670.14,5,5,5,555,5,55,champions,0,-1,0
616380,China,211,3,3801.90,2,3,3,233,3,23,at risk,1,0,0
616566,China,8,3,2738.58,5,3,3,533,3,53,potential loyalists,0,0,0
616776,China,253,1,366.48,1,1,1,111,1,11,hibernating,1,0,0
616788,China,274,3,1376.16,1,3,2,132,2,12,hibernating,1,0,0
616968,China,155,1,1201.14,2,1,2,212,1,21,hibernating,1,0,0
617124,China,246,1,350.58,1,1,1,111,1,11,hibernating,1,0,0
617130,China,295,1,12300.96,1,1,4,114,2,12,hibernating,1,0,0
617214,China,260,1,104.28,1,1,1,111,1,11,hibernating,1,0,0
617364,China,148,1,3638.76,2,1,3,213,2,22,hibernating,1,0,0
617424,China,57,5,11640.24,3,4,4,344,4,34,loyal customers,0,0,0
617484,China,316,1,4799.76,1,1,3,113,2,12,hibernating,1,0,0
617598,China,113,5,472.50,3,4,1,341,2,32,about to sleep,0,0,0
617646,China,57,2,6056.70,3,2,4,324,3,33,need attention,0,0,0
618048,China,218,1,1220.70,2,1,2,212,1,21,hibernating,1,0,0
618228,China,344,1,704.76,1,1,1,111,1,11,hibernating,1,0,0
618516,China,85,1,732.36,3,1,1,311,1,31,about to sleep,0,0,0
618810,China,337,1,242.88,1,1,1,111,1,11,hibernating,1,0,0
618894,China,1,1,99.00,5,1,1,511,1,51,new customers,0,0,0
619008,China,36,1,171.30,4,1,1,411,1,41,promising,0,0,0
619044,China,176,2,1318.98,2,2,2,222,2,22,hibernating,1,0,0
619626,China,106,2,4257.00,3,2,3,323,2,32,about to sleep,0,0,0
619944,China,15,21,72800.64,5,5,5,555,5,55,champions,0,0,0
620532,China,127,5,4763.64,2,4,3,243,3,23,at risk,0,0,0
620550,China,43,1,1099.32,4,1,2,412,1,41,promising,0,0,0
621138,China,8,5,8242.68,5,4,4,544,4,54,loyal customers,0,0,0
621648,China,22,3,8227.32,4,3,4,434,3,43,potential loyalists,0,0,0
621762,China,134,1,2370.84,2,1,3,213,2,22,hibernating,0,0,0
621822,China,169,1,143.70,2,1,1,211,1,21,hibernating,1,0,0
621942,China,183,2,1518.12,2,2,2,222,2,22,hibernating,1,0,0
622458,China,344,1,257.52,1,1,1,111,1,11,hibernating,1,0,0
622578,China,204,1,3037.56,2,1,3,213,2,22,hibernating,1,0,0
622710,China,1,712,1230348.24,5,5,5,555,5,55,champions,3,-1,1
622788,China,204,3,1856.94,2,3,2,232,2,22,hibernating,1,0,0
624354,China,43,1,5084.10,4,1,4,414,2,42,potential loyalists,0,0,0
624564,China,211,6,11762.52,2,4,4,244,4,24,at risk,1,0,0
624588,China,64,6,10832.40,3,4,4,344,4,34,loyal customers,0,0,0
624660,China,8,1,912.78,5,1,1,511,1,51,new customers,0,0,0
624936,China,267,1,777.00,1,1,1,111,1,11,hibernating,1,0,0
624960,China,99,1,612.42,3,1,1,311,1,31,about to sleep,0,0,0
625092,China,253,1,617.28,1,1,1,111,1,11,hibernating,1,0,0
625164,China,169,2,1716.60,2,2,2,222,2,22,hibernating,1,0,0
625926,China,15,4,1263.30,5,3,2,532,2,52,potential loyalists,0,0,0
626400,China,64,1,225.00,3,1,1,311,1,31,about to sleep,0,0,0
626604,China,204,3,2781.78,2,3,3,233,3,23,at risk,1,0,0
626640,China,15,14,32035.32,5,5,5,555,5,55,champions,0,0,0
626976,China,274,3,2035.50,1,3,2,132,2,12,hibernating,1,0,0
627060,China,15,7,12504.36,5,4,4,544,4,54,loyal customers,0,0,0
627102,China,302,1,361.50,1,1,1,111,1,11,hibernating,1,0,0
627108,China,22,1,4410.72,4,1,3,413,2,42,potential loyalists,0,0,0
627258,China,246,1,612.42,1,1,1,111,1,11,hibernating,1,0,0
627936,China,29,2,3614.10,4,2,3,423,2,42,potential loyalists,0,0,0
628320,China,134,2,2402.28,2,2,3,223,2,22,hibernating,0,0,0
628734,China,29,1,199.62,4,1,1,411,1,41,promising,0,0,0
628776,China,22,3,5956.62,4,3,4,434,3,43,potential loyalists,0,0,0
628896,China,8,1,1177.14,5,1,2,512,1,51,new customers,0,0,0
628986,China,36,2,1288.56,4,2,2,422,2,42,potential loyalists,0,0,0
629130,China,15,1,1905.18,5,1,2,512,1,51,new customers,0,0,0
629484,China,78,1,3673.68,3,1,3,313,2,32,about to sleep,0,0,0
629526,China,15,27,59209.14,5,5,5,555,5,55,champions,0,0,0
629784,China,183,1,208.56,2,1,1,211,1,21,hibernating,1,0,0
629910,China,218,3,14943.60,2,3,5,235,4,24,at risk,1,0,0
630006,China,15,3,74573.52,5,3,5,535,4,54,loyal customers,0,-1,0
630018,China,190,1,1220.70,2,1,2,212,1,21,hibernating,1,0,0
630204,China,316,1,379.50,1,1,1,111,1,11,hibernating,1,0,0
630402,China,113,4,1465.56,3,3,2,332,2,32,about to sleep,0,0,0
630456,China,176,1,2441.40,2,1,3,213,2,22,hibernating,1,0,0
630666,China,155,3,6294.60,2,3,4,234,3,23,at risk,1,0,0
630738,China,211,1,165.06,2,1,1,211,1,21,hibernating,1,0,0
631086,China,351,1,2404.20,1,1,3,113,2,12,hibernating,1,0,0
631164,China,50,2,214.50,4,2,1,421,1,41,promising,0,0,0
631272,China,169,1,1220.70,2,1,2,212,1,21,hibernating,1,0,0
631788,China,8,3,3086.46,5,3,3,533,3,53,potential loyalists,0,0,0
632010,China,78,1,2915.94,3,1,3,313,2,32,about to sleep,0,0,0
632064,China,29,1,494.10,4,1,1,411,1,41,promising,0,0,0
632496,China,36,6,7997.22,4,4,4,444,4,44,loyal customers,0,0,0
632838,China,57,1,9009.36,3,1,4,314,2,32,about to sleep,0,0,0
632904,China,8,12,35786.22,5,5,5,555,5,55,champions,0,0,0
632988,China,218,1,286.74,2,1,1,211,1,21,hibernating,1,0,0
633396,China,50,1,1177.14,4,1,2,412,1,41,promising,0,0,0
633678,China,50,5,3852.18,4,4,3,443,3,43,potential loyalists,0,0,0
634080,China,134,2,2842.38,2,2,3,223,2,22,hibernating,0,0,0
634644,China,64,2,2475.42,3,2,3,323,2,32,about to sleep,0,0,0
634680,China,1,2,3550.86,5,2,3,523,2,52,potential loyalists,0,0,0
634692,China,78,5,9483.72,3,4,4,344,4,34,loyal customers,0,0,0
634698,China,43,1,835.92,4,1,1,411,1,41,promising,0,0,0
634956,China,29,6,9757.44,4,4,4,444,4,44,loyal customers,0,0,0
635010,China,232,3,13984.08,2,3,5,235,4,24,at risk,1,0,0
635226,China,99,10,30185.82,3,5,5,355,5,35,loyal customers,0,0,0
635766,China,288,1,368.82,1,1,1,111,1,11,hibernating,1,0,0
635850,China,183,3,4007.22,2,3,3,233,3,23,at risk,1,0,0
635970,China,1,6,15001.86,5,4,5,545,4,54,loyal customers,0,0,0
636270,China,71,1,1094.10,3,1,2,312,1,31,about to sleep,0,0,0
636618,China,155,1,392.10,2,1,1,211,1,21,hibernating,1,0,0
636864,China,64,2,1464.72,3,2,2,322,2,32,about to sleep,0,0,0
637086,China,85,4,3869.76,3,3,3,333,3,33,need attention,0,0,0
637266,China,141,3,8280.54,2,3,4,234,3,23,at risk,0,0,0
637416,China,155,3,2091.48,2,3,2,232,2,22,hibernating,1,0,0
637536,China,15,10,10657.38,5,5,4,554,4,54,loyal customers,0,0,0
637674,China,183,1,612.42,2,1,1,211,1,21,hibernating,1,0,0
637770,China,183,2,2441.40,2,2,3,223,2,22,hibernating,1,0,0
637836,China,218,1,2232.66,2,1,3,213,2,22,hibernating,1,0,0
638118,China,36,1,894.30,4,1,1,411,1,41,promising,0,0,0
638184,China,197,3,1176.30,2,3,2,232,2,22,hibernating,1,0,0
638544,China,1,217,21482332.56,5,5,5,555,5,55,champions,2,-1,1
638664,China,29,8,21872.64,4,4,5,445,4,44,loyal customers,0,0,0
638682,China,344,2,2975.40,1,2,3,123,2,12,hibernating,1,0,0
639246,China,190,1,361.44,2,1,1,211,1,21,hibernating,1,0,0
639330,China,134,1,1220.70,2,1,2,212,1,21,hibernating,0,0,0
639348,China,29,8,8043.66,4,4,4,444,4,44,loyal customers,0,0,0
640356,China,253,1,392.10,1,1,1,111,1,11,hibernating,1,0,0
640710,China,8,16,10834.98,5,5,4,554,4,54,loyal customers,0,0,0
640806,China,1,19,33921.42,5,5,5,555,5,55,champions,0,0,0
641100,China,71,4,28963.20,3,3,5,335,4,34,loyal customers,0,0,0
641430,China,1,19,33980.22,5,5,5,555,5,55,champions,0,0,0
641646,China,43,7,10147.68,4,4,4,444,4,44,loyal customers,0,0,0
641928,China,190,7,14000.88,2,4,5,245,4,24,at risk,1,0,0
642060,China,8,19,96078.36,5,5,5,555,5,55,champions,0,0,0
642354,China,302,2,0.00,1,2,1,121,1,11,hibernating,1,0,0
642528,China,204,3,4975.56,2,3,4,234,3,23,at risk,1,0,0
642552,China,57,1,389.76,3,1,1,311,1,31,about to sleep,0,0,0
642954,China,309,1,2214.06,1,1,3,113,2,12,hibernating,1,0,0
642990,China,8,10,4276.98,5,5,3,553,4,54,loyal customers,0,0,0
643368,China,8,4,6259.86,5,3,4,534,3,53,potential loyalists,0,0,0
643428,China,148,4,6085.86,2,3,4,234,3,23,at risk,1,0,0
644076,China,36,3,354.30,4,3,1,431,2,42,potential loyalists,0,0,0
644268,China,50,17,19631.94,4,5,5,455,5,45,loyal customers,0,0,0
644424,China,8,5,9501.00,5,4,4,544,4,54,loyal customers,0,0,0
644742,China,106,1,925.56,3,1,1,311,1,31,about to sleep,0,0,0
644754,China,43,6,2357.70,4,4,3,443,3,43,potential loyalists,0,0,0
645036,China,358,1,1202.10,1,1,2,112,1,11,hibernating,1,0,0
645348,China,22,22,31872.54,4,5,5,455,5,45,loyal customers,0,0,0
645366,China,85,2,569.22,3,2,1,321,1,31,about to sleep,0,0,0
646050,China,246,1,392.10,1,1,1,111,1,11,hibernating,1,0,0
646152,China,85,2,2441.40,3,2,3,323,2,32,about to sleep,0,0,0
646218,China,85,7,13417.98,3,4,4,344,4,34,loyal customers,0,0,0
646416,China,15,13,26571.78,5,5,5,555,5,55,champions,0,0,0
648138,China,309,1,136.80,1,1,1,111,1,11,hibernating,1,0,0
648180,China,274,1,801.30,1,1,1,111,1,11,hibernating,1,0,0
648342,China,120,1,9344.52,3,1,4,314,2,32,about to sleep,0,0,0
648642,China,344,1,1201.20,1,1,2,112,1,11,hibernating,1,0,0
649236,China,43,11,15729.90,4,5,5,455,5,45,loyal customers,0,0,0
649464,China,197,1,187.80,2,1,1,211,1,21,hibernating,1,0,0
649992,China,8,7,90048.18,5,4,5,545,4,54,loyal customers,0,-1,0
650076,China,127,2,2419.56,2,2,3,223,2,22,hibernating,0,0,0
650550,China,295,1,2474.88,1,1,3,113,2,12,hibernating,1,0,0
650616,China,85,1,1125.60,3,1,2,312,1,31,about to sleep,0,0,0
651048,China,162,1,2927.76,2,1,3,213,2,22,hibernating,1,0,0
651186,China,134,4,5241.54,2,3,4,234,3,23,at risk,0,0,0
651390,China,29,1,763.26,4,1,1,411,1,41,promising,0,0,0
651402,China,218,1,264.06,2,1,1,211,1,21,hibernating,1,0,0
651480,China,141,3,2886.30,2,3,3,233,3,23,at risk,0,0,0
652320,China,295,1,329.40,1,1,1,111,1,11,hibernating,1,0,0
652332,China,141,1,474.96,2,1,1,211,1,21,hibernating,0,0,0
652410,China,8,2,901.08,5,2,1,521,1,51,new customers,0,0,0
652482,China,351,1,690.06,1,1,1,111,1,11,hibernating,1,0,0
652512,China,239,1,257.70,2,1,1,211,1,21,hibernating,1,0,0
652716,China,15,2,2756.58,5,2,3,523,2,52,potential loyalists,0,0,0
652794,China,281,1,418.38,1,1,1,111,1,11,hibernating,1,0,0
653316,China,127,5,791.64,2,4,1,241,2,22,hibernating,0,0,0
655782,China,50,15,15818.88,4,5,5,455,5,45,loyal customers,0,0,0
657384,China,92,2,3202.62,3,2,3,323,2,32,about to sleep,0,0,0
657552,China,253,2,17796.06,1,2,5,125,3,13,at risk,1,0,0
657870,China,358,1,189.72,1,1,1,111,1,11,hibernating,1,0,0
657924,China,15,11,19162.38,5,5,5,555,5,55,champions,0,0,0
658950,China,50,2,683.10,4,2,1,421,1,41,promising,0,0,0
659946,China,169,2,3689.88,2,2,3,223,2,22,hibernating,1,0,0
660366,China,246,1,4067.52,1,1,3,113,2,12,hibernating,1,0,0
660546,China,22,12,27975.18,4,5,5,455,5,45,loyal customers,0,0,0
660552,China,288,2,379.44,1,2,1,121,1,11,hibernating,1,0,0
661134,China,134,1,364.14,2,1,1,211,1,21,hibernating,0,0,0
661350,China,8,10,4944.06,5,5,4,554,4,54,loyal customers,0,0,0
661494,China,316,1,115.50,1,1,1,111,1,11,hibernating,1,0,0
661518,China,197,1,920.34,2,1,1,211,1,21,hibernating,1,0,0
661548,China,344,1,303.00,1,1,1,111,1,11,hibernating,1,0,0
661842,China,246,1,801.30,1,1,1,111,1,11,hibernating,1,0,0
662004,China,155,2,10986.30,2,2,4,224,3,23,at risk,1,0,0
663180,China,211,1,126.60,2,1,1,211,1,21,hibernating,1,0,0
664188,China,204,1,1220.70,2,1,2,212,1,21,hibernating,1,0,0
664488,China,92,1,2242.14,3,1,3,313,2,32,about to sleep,0,0,0
664626,China,295,1,379.74,1,1,1,111,1,11,hibernating,1,0,0
665466,China,43,3,6120.24,4,3,4,434,3,43,potential loyalists,0,0,0
666456,Myanmar,295,1,382.86,1,1,1,111,1,11,hibernating,1,0,0
666714,Myanmar,1,10,287477.82,5,5,5,555,5,55,champions,0,-1,0
666750,Myanmar,246,2,2168.58,1,2,2,122,2,12,hibernating,1,0,0
667074,Myanmar,36,3,4763.04,4,3,3,433,3,43,potential loyalists,0,0,0
667140,Myanmar,302,1,1208.28,1,1,2,112,1,11,hibernating,1,0,0
667608,Myanmar,155,1,744.72,2,1,1,211,1,21,hibernating,1,0,0
667914,Myanmar,211,6,11371.62,2,4,4,244,4,24,at risk,1,0,0
667920,Myanmar,344,1,1232.04,1,1,2,112,1,11,hibernating,1,0,0
668070,Myanmar,267,11,21886.92,1,5,5,155,5,15,can't lose,1,-1,0
668118,Myanmar,211,1,425.10,2,1,1,211,1,21,hibernating,1,0,0
668550,Myanmar,64,1,1821.18,3,1,2,312,1,31,about to sleep,0,0,0
668556,Myanmar,15,1,1212.00,5,1,2,512,1,51,new customers,0,0,0
668592,Myanmar,50,5,3963.66,4,4,3,443,3,43,potential loyalists,0,0,0
668610,Myanmar,29,7,7710.96,4,4,4,444,4,44,loyal customers,0,0,0
668622,Myanmar,295,1,271.86,1,1,1,111,1,11,hibernating,1,0,0
668676,Myanmar,211,1,384.00,2,1,1,211,1,21,hibernating,1,0,0
668772,Myanmar,218,2,2381.52,2,2,3,223,2,22,hibernating,1,0,0
668862,Myanmar,22,4,15121.68,4,3,5,435,4,44,loyal customers,0,0,0
669330,Myanmar,323,1,4458.84,1,1,3,113,2,12,hibernating,1,0,0
669366,Myanmar,8,8,12714.48,5,4,4,544,4,54,loyal customers,0,0,0
669516,Myanmar,15,2,11525.64,5,2,4,524,3,53,potential loyalists,0,0,0
669576,Myanmar,169,2,1275.30,2,2,2,222,2,22,hibernating,1,0,0
669852,Myanmar,351,1,616.02,1,1,1,111,1,11,hibernating,1,0,0
670308,Myanmar,78,1,4412.28,3,1,3,313,2,32,about to sleep,0,0,0
670962,Myanmar,15,9,5868.06,5,4,4,544,4,54,loyal customers,0,0,0
671256,Myanmar,1,7,10642.92,5,4,4,544,4,54,loyal customers,0,0,0
671370,Myanmar,43,1,284.70,4,1,1,411,1,41,promising,0,0,0
671400,Myanmar,225,2,2420.28,2,2,3,223,2,22,hibernating,1,0,0
671412,Myanmar,288,1,5953.80,1,1,4,114,2,12,hibernating,1,0,0
671592,Myanmar,141,2,20400.06,2,2,5,225,3,23,at risk,0,0,0
672036,Myanmar,15,1,205.62,5,1,1,511,1,51,new customers,0,0,0
672144,Myanmar,92,8,11673.18,3,4,4,344,4,34,loyal customers,0,0,0
672666,Myanmar,134,1,3205.14,2,1,3,213,2,22,hibernating,0,0,0
672720,Myanmar,57,8,7798.38,3,4,4,344,4,34,loyal customers,0,0,0
673326,Myanmar,64,5,3805.56,3,4,3,343,3,33,need attention,0,0,0
673380,Myanmar,281,1,607.08,1,1,1,111,1,11,hibernating,1,0,0
673758,Myanmar,358,1,2229.42,1,1,3,113,2,12,hibernating,1,0,0
673896,Myanmar,211,1,114.84,2,1,1,211,1,21,hibernating,1,0,0
674670,Myanmar,225,1,744.72,2,1,1,211,1,21,hibernating,1,0,0
675030,Myanmar,239,1,912.24,2,1,1,211,1,21,hibernating,1,0,0
675168,Myanmar,197,3,1420.32,2,3,2,232,2,22,hibernating,1,0,0
675264,Myanmar,64,2,3725.76,3,2,3,323,2,32,about to sleep,0,0,0
675486,Myanmar,8,10,36629.76,5,5,5,555,5,55,champions,0,0,0
675564,Myanmar,8,21,81081.24,5,5,5,555,5,55,champions,0,0,0
675924,Myanmar,92,8,9743.34,3,4,4,344,4,34,loyal customers,0,0,0
676140,Myanmar,281,1,1190.76,1,1,2,112,1,11,hibernating,1,0,0
676386,Myanmar,134,1,1195.62,2,1,2,212,1,21,hibernating,0,0,0
676626,Myanmar,29,18,11213.94,4,5,4,454,4,44,loyal customers,0,0,0
676992,Myanmar,141,2,21960.60,2,2,5,225,3,23,at risk,0,0,0
677310,Myanmar,1,40,18471.96,5,5,5,555,5,55,champions,0,0,0
677580,Myanmar,1,26,112729.62,5,5,5,555,5,55,champions,0,-1,0
677778,Myanmar,120,1,1212.00,3,1,2,312,1,31,about to sleep,0,0,0
677886,Myanmar,64,1,1212.00,3,1,2,312,1,31,about to sleep,0,0,0
677964,Myanmar,50,1,284.70,4,1,1,411,1,41,promising,0,0,0
678174,Myanmar,57,5,11617.80,3,4,4,344,4,34,loyal customers,0,0,0
678342,Myanmar,134,3,3956.64,2,3,3,233,3,23,at risk,0,0,0
678432,Myanmar,64,14,21391.08,3,5,5,355,5,35,loyal customers,0,0,0
678624,Myanmar,8,1,617.94,5,1,1,511,1,51,new customers,0,0,0
679644,Myanmar,43,2,1829.94,4,2,2,422,2,42,potential loyalists,0,0,0
679944,Myanmar,71,1,1853.82,3,1,2,312,1,31,about to sleep,0,0,0
679980,Myanmar,8,4,6048.84,5,3,4,534,3,53,potential loyalists,0,0,0
680172,Myanmar,43,11,19907.82,4,5,5,455,5,45,loyal customers,0,0,0
680400,Myanmar,155,1,1190.76,2,1,2,212,1,21,hibernating,1,0,0
680448,Myanmar,288,1,149.52,1,1,1,111,1,11,hibernating,1,0,0
680454,Myanmar,253,1,1212.00,1,1,2,112,1,11,hibernating,1,0,0
680460,Myanmar,351,2,9558.24,1,2,4,124,3,13,at risk,1,0,0
680634,Myanmar,1,4,62826.42,5,3,5,535,4,54,loyal customers,0,-1,0
680658,Myanmar,183,1,1212.00,2,1,2,212,1,21,hibernating,1,0,0
680904,Myanmar,36,2,1496.70,4,2,2,422,2,42,potential loyalists,0,0,0
681150,Myanmar,190,1,117.00,2,1,1,211,1,21,hibernating,1,0,0
681312,Myanmar,309,1,2380.32,1,1,3,113,2,12,hibernating,1,0,0
682626,Myanmar,15,16,43567.98,5,5,5,555,5,55,champions,0,0,0
682896,Myanmar,8,12,90090.96,5,5,5,555,5,55,champions,0,0,0
683604,Myanmar,204,1,2918.76,2,1,3,213,2,22,hibernating,1,0,0
683868,Myanmar,43,4,14857.08,4,3,5,435,4,44,loyal customers,0,0,0
683922,Myanmar,15,15,5458.74,5,5,4,554,4,54,loyal customers,0,0,0
684084,Myanmar,141,3,4161.72,2,3,3,233,3,23,at risk,0,0,0
684192,Myanmar,85,5,10158.06,3,4,4,344,4,34,loyal customers,0,0,0
684588,Myanmar,302,2,284.82,1,2,1,121,1,11,hibernating,1,0,0
684780,Myanmar,323,5,6671.94,1,4,4,144,4,14,at risk,1,0,0
684798,Myanmar,8,4,33182.64,5,3,5,535,4,54,loyal customers,0,0,0
684816,Myanmar,162,1,1821.18,2,1,2,212,1,21,hibernating,1,0,0
684972,China,1,88,116824.86,5,5,5,555,5,55,champions,0,-1,0
685038,China,344,1,308.28,1,1,1,111,1,11,hibernating,1,0,0
685128,China,365,1,277.68,1,1,1,111,1,11,hibernating,1,0,0
685140,China,64,1,257.70,3,1,1,311,1,31,about to sleep,0,0,0
685290,China,43,4,2169.60,4,3,2,432,2,42,potential loyalists,0,0,0
685380,Myanmar,358,1,2204.52,1,1,2,112,1,11,hibernating,1,0,0
685938,China,57,2,2901.30,3,2,3,323,2,32,about to sleep,0,0,0
686238,Myanmar,190,3,2225.82,2,3,3,233,3,23,at risk,1,0,0
686286,China,253,1,627.30,1,1,1,111,1,11,hibernating,1,0,0
686292,China,295,1,2441.40,1,1,3,113,2,12,hibernating,1,0,0
686352,China,316,1,2422.80,1,1,3,113,2,12,hibernating,1,0,0
686430,China,8,2,690.06,5,2,1,521,1,51,new customers,0,0,0
686688,China,127,1,474.96,2,1,1,211,1,21,hibernating,0,0,0
686982,China,302,1,99.24,1,1,1,111,1,11,hibernating,1,0,0
687126,China,253,2,704.76,1,2,1,121,1,11,hibernating,1,0,0
687408,China,176,1,1201.14,2,1,2,212,1,21,hibernating,1,0,0
688212,China,162,1,23694.00,2,1,5,215,3,23,at risk,1,0,0
688266,China,22,5,2800.68,4,4,3,443,3,43,potential loyalists,0,0,0
688296,China,260,1,11081.70,1,1,4,114,2,12,hibernating,1,0,0
688398,China,78,2,1261.62,3,2,2,322,2,32,about to sleep,0,0,0
688452,China,267,1,1201.14,1,1,2,112,1,11,hibernating,1,0,0
688458,China,85,3,954.36,3,3,1,331,2,32,about to sleep,0,0,0
688632,China,43,5,9724.62,4,4,4,444,4,44,loyal customers,0,0,0
689004,China,218,2,786.36,2,2,1,221,1,21,hibernating,1,0,0
689340,China,36,1,2915.94,4,1,3,413,2,42,potential loyalists,0,0,0
689370,China,1,12,4083.90,5,5,3,553,4,54,loyal customers,0,0,0
690054,China,218,1,90.36,2,1,1,211,1,21,hibernating,1,0,0
690324,China,260,3,1186.08,1,3,2,132,2,12,hibernating,1,0,0
690366,China,106,1,627.30,3,1,1,311,1,31,about to sleep,0,0,0
690504,China,190,2,3227.28,2,2,3,223,2,22,hibernating,1,0,0
690552,China,15,1,502.26,5,1,1,511,1,51,new customers,0,0,0
690822,China,8,5,10505.40,5,4,4,544,4,54,loyal customers,0,0,0
691866,China,155,1,949.92,2,1,1,211,1,21,hibernating,1,0,0
